Abyssal Axe	Two Handed Axe	
Abyssal Sceptre	Sceptre	
Accumulator Wand	Wand	
Aegis Tulgraft	Graft	
Aetherwind Gloves	Gloves	Energy Shield
Agate Amulet	Amulet	
Alder Spiked Shield	Shield	Evasion/Energy Shield
Alloyed Spiked Shield	Shield	Evasion/Energy Shield
Alternating Sceptre	Sceptre	
Amber Amulet	Amulet	
Ambush Boots	Boots	Evasion/Energy Shield
Ambush Mitts	Gloves	Evasion/Energy Shield
Ambusher	Dagger	
Amethyst Flask	Flask	Utility
Amethyst Ring	Ring	
Anarchic Spiritblade	One Handed Sword	
Ancestral Club	One Handed Mace	
Ancient Gauntlets	Gloves	Armour
Ancient Greaves	Boots	Armour
Ancient Mask	Helmet	Evasion/Energy Shield
Ancient Spirit Shield	Shield	Energy Shield
Ancient Sword	One Handed Sword	
Angelic Kite Shield	Shield	Armour/Energy Shield
Antique Gauntlets	Gloves	Armour
Antique Greaves	Boots	Armour
Antique Rapier	One Handed Sword	Thrusting
Ape Talisman	Amulet	Talisman
Apex Cleaver	Two Handed Axe	
Apex Rapier	One Handed Sword	Thrusting
Apothecary's Gloves	Gloves	Armour/Energy Shield
Apprentice Gloves	Gloves	Evasion
Aquamarine Flask	Flask	Utility
Arcane Vestment	Body Armour	Energy Shield
Arcanist Gloves	Gloves	Energy Shield
Arcanist Slippers	Boots	Energy Shield
Archdemon Crown	Helmet	Armour/Energy Shield
Archon Kite Shield	Shield	Armour/Energy Shield
Arena Plate	Body Armour	Armour
Arming Axe	One Handed Axe	
Artillery Quiver	Quiver	
Ashbark Tincture	Tincture	
Ashscale Talisman	Amulet	Talisman
Assassin Bow	Bow	
Assassin's Boots	Boots	Evasion/Energy Shield
Assassin's Garb	Body Armour	Evasion
Assassin's Mitts	Gloves	Evasion/Energy Shield
Assembled Eye Jewel	Jewel	Abyss
Assembler Wand	Wand	
Astral Leather	Body Armour	Evasion
Astral Plate	Body Armour	Armour
Astrolabe Amulet	Amulet	
Atonement Mask	Helmet	Armour/Evasion
Auric Mace	One Handed Mace	
Aventail Helmet	Helmet	Armour/Energy Shield
Avian Twins Talisman	Amulet	Talisman
Avian Twins Talisman (Cold-To-Fire)	Amulet	Talisman
Avian Twins Talisman (Cold-To-Lightning)	Amulet	Talisman
Avian Twins Talisman (Fire-To-Cold)	Amulet	Talisman
Avian Twins Talisman (Fire-To-Lightning)	Amulet	Talisman
Avian Twins Talisman (Lightning-To-Cold)	Amulet	Talisman
Awl	Claw	
Banishing Blade	Two Handed Sword	
Barbed Club	One Handed Mace	
Barbute Helmet	Helmet	Armour
Baroque Round Shield	Shield	Armour/Evasion
Basalt Flask	Flask	Utility
Baselard	One Handed Sword	
Basemetal Treads	Boots	Armour
Basket Rapier	One Handed Sword	Thrusting
Bastard Sword	Two Handed Sword	
Battered Foil	One Handed Sword	Thrusting
Battered Helm	Helmet	Armour/Evasion
Battering Uulgraft	Graft	
Battery Staff	Staff	
Battle Buckler	Shield	Evasion
Battle Hammer	One Handed Mace	
Battle Lamellar	Body Armour	Armour/Evasion
Battle Plate	Body Armour	Armour
Battle Sword	One Handed Sword	
Behemoth Mace	One Handed Mace	
Bismuth Flask	Flask	Utility
Black Maw Talisman	Amulet	Talisman
Black Widow Talisman	Amulet	Talisman
Bladed Mace	One Handed Mace	
Blasting Blade	Two Handed Sword	
Blasting Wand	Wand	
Blazing Arrow Quiver	Quiver	
Blinder	Claw	
Blizzard Crown	Helmet	Evasion/Energy Shield
Blood Raiment	Body Armour	Evasion/Energy Shield
Blood Sap Tincture	Tincture	
Blood Sceptre	Sceptre	
Blood Viper Talisman	Amulet	Talisman
Blue Pearl Amulet	Amulet	
Blunt Arrow Quiver	Quiver	
Blunt Force Condenser	Two Handed Mace	
Boarding Axe	One Handed Axe	
Bone Armour	Body Armour	Evasion/Energy Shield
Bone Bow	Bow	
Bone Circlet	Helmet	Energy Shield
Bone Helmet	Helmet	Armour/Energy Shield
Bone Ring	Ring	
Bone Spirit Shield	Shield	Energy Shield
Bonespire Talisman	Amulet	Talisman
Boom Mace	One Handed Mace	
Boot Blade	Dagger	Rune Dagger
Boot Knife	Dagger	Rune Dagger
Borealwood Tincture	Tincture	
Branded Kite Shield	Shield	Armour/Energy Shield
Brass Maul	Two Handed Mace	
Brass Spirit Shield	Shield	Energy Shield
Breach Ring	Ring	
Breakrib Talisman	Amulet	Talisman
Brimstone Treads	Boots	Armour
Broad Axe	One Handed Axe	
Broad Sword	One Handed Sword	
Broadhead Arrow Quiver	Quiver	
Bronze Gauntlets	Gloves	Armour
Bronze Plate	Body Armour	Armour
Bronze Sceptre	Sceptre	
Bronze Tower Shield	Shield	Armour
Bronzescale Boots	Boots	Armour/Evasion
Bronzescale Gauntlets	Gloves	Armour/Evasion
Buckskin Tower Shield	Shield	Armour
Buckskin Tunic	Body Armour	Evasion
Burnished Foil	One Handed Sword	Thrusting
Burnished Spiked Shield	Shield	Evasion/Energy Shield
Butcher Axe	One Handed Axe	
Butcher Knife	Dagger	Rune Dagger
Butcher Sword	Two Handed Sword	
Cabalist Regalia	Body Armour	Energy Shield
Calling Wand	Wand	
Callous Mask	Helmet	Evasion/Energy Shield
Capacity Rod	Staff	Warstaff
Capricious Spiritblade	One Handed Sword	
Cardinal Round Shield	Shield	Armour/Evasion
Carnal Armour	Body Armour	Evasion/Energy Shield
Carnal Boots	Boots	Evasion/Energy Shield
Carnal Mitts	Gloves	Evasion/Energy Shield
Carnal Sceptre	Sceptre	
Carrion Queen Talisman	Amulet	Talisman
Carved Wand	Wand	
Carving Knife	Dagger	Rune Dagger
Cat's Paw	Claw	
Cedar Tower Shield	Shield	Armour
Ceremonial Axe	One Handed Axe	
Ceremonial Kite Shield	Shield	Armour/Energy Shield
Ceremonial Mace	One Handed Mace	
Cerulean Ring	Ring	
Chain Belt	Belt	
Chain Boots	Boots	Armour/Energy Shield
Chain Gloves	Gloves	Armour/Energy Shield
Chain Hauberk	Body Armour	Armour/Energy Shield
Chainmail Doublet	Body Armour	Armour/Energy Shield
Chainmail Tunic	Body Armour	Armour/Energy Shield
Chainmail Vest	Body Armour	Armour/Energy Shield
Champion Kite Shield	Shield	Armour/Energy Shield
