Abyssal Axe	Art/2DItems/Weapons/TwoHandWeapons/TwoHandAxes/TwoHandAxe7
Abyssal Sceptre	Art/2DItems/Weapons/OneHandWeapons/Scepters/scepter8
Accumulator Wand	Art/2DItems/Weapons/OneHandWeapons/Wands/HeistWand
Aetherwind Gloves	Art/2DItems/Armours/Gloves/RitualIntGloves
Agate Amulet	Art/2DItems/Amulets/AgateAmulet
Alder Spiked Shield	Art/2DItems/Armours/Shields/ShieldDexInt2
Alloyed Spiked Shield	Art/2DItems/Armours/Shields/ShieldDexInt3
Alternating Sceptre	Art/2DItems/Weapons/OneHandWeapons/Scepters/HeistSceptreElemental
Amber Amulet	Art/2DItems/Amulets/Amulet3
Ambush Boots	Art/2DItems/Armours/Boots/BootsDexInt3
Ambush Mitts	Art/2DItems/Armours/Gloves/GlovesDexInt2
Ambusher	Art/2DItems/Weapons/OneHandWeapons/Daggers/Dagger4
Amethyst Flask	Art/2DItems/Flasks/Amethyst
Amethyst Ring	Art/2DItems/Rings/AmethystRing
Anarchic Spiritblade	Art/2DItems/Weapons/OneHandWeapons/OneHandSwords/HeistOneHandSword
Ancestral Club	Art/2DItems/Weapons/OneHandWeapons/OneHandMaces/OneHandMace2
Ancient Gauntlets	Art/2DItems/Armours/Gloves/GlovesStr3
Ancient Greaves	Art/2DItems/Armours/Boots/BootsStr3
Ancient Mask	Art/2DItems/Armours/Helmets/HelmetDexInt10
Ancient Spirit Shield	Art/2DItems/Armours/Shields/ShieldInt4
Ancient Sword	Art/2DItems/Weapons/OneHandWeapons/OneHandSwords/OneHandSword6
Angelic Kite Shield	Art/2DItems/Armours/Shields/ShieldStrInt5
Antique Gauntlets	Art/2DItems/Armours/Gloves/GlovesStr2
Antique Greaves	Art/2DItems/Armours/Boots/BootsStr2
Antique Rapier	Art/2DItems/Weapons/OneHandWeapons/Rapiers/Rapier6
Apex Cleaver	Art/2DItems/Weapons/TwoHandWeapons/TwoHandAxes/HeistTwoHandAxe
Apex Rapier	Art/2DItems/Weapons/OneHandWeapons/Rapiers/Rapier8
Apothecary's Gloves	Art/2DItems/Armours/Gloves/ChemistGloves
Apprentice Gloves	Art/2DItems/Armours/Gloves/RitualDexGloves
Aquamarine Flask	Art/2DItems/Flasks/aquamarine
Arcane Vestment	Art/2DItems/Armours/BodyArmours/BodyInt1C
Arcanist Gloves	Art/2DItems/Armours/Gloves/GlovesInt3
Arcanist Slippers	Art/2DItems/Armours/Boots/BootsInt3
Archdemon Crown	Art/2DItems/Armours/Helmets/MaskCrown
